DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Zimná;Zimná;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Zvonárska;Zvonárska;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
Železná;Železná;053 31;Novoveská Huta;Novoveská Huta;;Spišská Nová Ves
Železničná;Železničná;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;;Spišská Nová Ves
1. mája;1. mája;927 01;Šaľa 1;Šaľa 1;;Šaľa
8. mája;8. mája;927 01;Šaľa 1;Šaľa 1;;Šaľa
Agátová;Agátová;927 01;Šaľa 1;Šaľa 1;;Šaľa
B. Němcovej;B. Němcovej;927 01;Šaľa 1;Šaľa 1;;Šaľa
Bernolákova;Bernolákova;927 05;Šaľa 5;Šaľa 5;;Šaľa
Bilická;Bilická;927 01;Šaľa 1;Šaľa 1;;Šaľa
Bottova;Bottova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Brezová;Brezová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Broskyňová;Broskyňová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Budovateľská;Budovateľská;927 01;Šaľa 1;Šaľa 1;;Šaľa
Cintorínska;Cintorínska;927 05;Šaľa 5;Šaľa 5;;Šaľa
Čsl. armády;Čsl. armády;927 01;Šaľa 1;Šaľa 1;;Šaľa
Diakovská;Diakovská;927 01;Šaľa 1;Šaľa 1;;Šaľa
Dlhá nad Váhom;Dlhá nad Váhom;927 05;Šaľa 5;Šaľa 5;;Šaľa
Dlhoveská;Dlhoveská;927 05;Šaľa 5;Šaľa 5;;Šaľa
Dolná;Dolná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Dózsova;Dózsova;927 05;Šaľa 5;Šaľa 5;;Šaľa
Drieňová;Drieňová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Družstevná;Družstevná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Fr. Kráľa;F. Kráľa;927 05;Šaľa 5;Šaľa 5;;Šaľa
Gagarinova;Gagarinova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Gaštanová;Gaštanová;927 01;Šaľa 1;Šaľa 1;;Šaľa
generála L. Svobodu;generála L. Svobodu;927 05;Šaľa 5;Šaľa 5;;Šaľa
Germánska;Germánska;927 05;Šaľa 5;Šaľa 5;;Šaľa
Gorkého;Gorkého;927 05;Šaľa 5;Šaľa 5;;Šaľa
Hetmen;Hetmen;927 01;Šaľa 1;Šaľa 1;;Šaľa
Hlavná;Hlavná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Hlboká;Hlboká;927 01;Šaľa 1;Šaľa 1;;Šaľa
Hliník;Hliník;927 05;Šaľa 5;Šaľa 5;;Šaľa
Hliníková;Hliníková;927 05;Šaľa 5;Šaľa 5;;Šaľa
Hollého;Hollého;927 05;Šaľa 5;Šaľa 5;;Šaľa
Horná;Horná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Hospodárska;Hospodárska;927 05;Šaľa 5;Šaľa 5;;Šaľa
Hurbanova;Hurbanova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Hviezdoslavova;Hviezdoslavova;927 01;Šaľa 1;Šaľa 1;;Šaľa
J. Kollára;J. Kollára;927 01;Šaľa 1;Šaľa 1;;Šaľa
J. Palárika;J. Palárika;927 01;Šaľa 1;Šaľa 1;;Šaľa
Jánošíkova;Jánošíkova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Jarmočná;Jarmočná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Jaseňová;Jaseňová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Javorová;Javorová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Jazerná;Jazerná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Jelšová;Jelšová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Jesenského;Jesenského;927 01;Šaľa 1;Šaľa 1;;Šaľa
Jilemnického;Jilemnického;927 05;Šaľa 5;Šaľa 5;;Šaľa
Kalinčiakova;Kalinčiakova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Kilič;Kilič;925 83;Žihárec;Žihárec;;Šaľa
Komenského;Komenského;927 05;Šaľa 5;Šaľa 5;;Šaľa
kpt. Jaroša;kpt. Jaroša;927 01;Šaľa 1;Šaľa 1;;Šaľa
Kráľovská;Kráľovská;927 01;Šaľa 1;Šaľa 1;;Šaľa
Krátka;Krátka;927 01;Šaľa 1;Šaľa 1;;Šaľa
Krížna;Krížna;927 01;Šaľa 1;Šaľa 1;;Šaľa
Kukučínova;Kukučínova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Kvetná;Kvetná;927 01;Šaľa 1;Šaľa 1;;Šaľa
L. Novomeského;L. Novomeského;927 01;Šaľa 1;Šaľa 1;;Šaľa
Lesná;Lesná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Letná;Letná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Lipová;Lipová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Lúčna;Lúčna;927 05;Šaľa 5;Šaľa 5;;Šaľa
Lužná;Lužná;927 05;Šaľa 5;Šaľa 5;;Šaľa
M. M. Hodžu;M. M. Hodžu;927 01;Šaľa 1;Šaľa 1;;Šaľa
M. R. Štefánika;M. R. Štefánika;927 01;Šaľa 1;Šaľa 1;;Šaľa
Malá;Malá;927 01;Šaľa 1;Šaľa 1;;Šaľa
Markovičova;Markovičova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Mostová;Mostová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Murgašova;Murgašova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Nábrežná;Nábrežná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Nádražná;Nádražná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Námestie A. Dubčeka;Námestie A. Dubčeka;927 01;Šaľa 1;Šaľa 1;;Šaľa
Námestie svätej Trojice;Námestie svätej Trojice;927 01;Šaľa 1;Šaľa 1;;Šaľa
Narcisová;Narcisová;927 05;Šaľa 5;Šaľa 5;;Šaľa
Nemocničná;Nemocničná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Nešporova;Nešporova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Nezábudková;Nezábudková;927 01;Šaľa 1;Šaľa 1;;Šaľa
Nitrianska;Nitrianska;927 05;Šaľa 5;Šaľa 5;;Šaľa
Nivy;Nivy;927 05;Šaľa 5;Šaľa 5;;Šaľa
Nová;Nová;927 05;Šaľa 5;Šaľa 5;;Šaľa
Okružná;Okružná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Orechová;Orechová;927 01;Šaľa 1;Šaľa 1;;Šaľa
P. J. Šafárika;P. J. Šafárika;927 01;Šaľa 1;Šaľa 1;;Šaľa
P. Pázmaňa;P. Pázmaňa;927 01;Šaľa 1;Šaľa 1;;Šaľa
Partizánska;Partizánska;927 01;Šaľa 1;Šaľa 1;;Šaľa
Pažitná;Pažitná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Pionierska;Pionierska;927 01;Šaľa 1;Šaľa 1;;Šaľa
Pribinovo námestie;Pribinovo námestie;927 05;Šaľa 5;Šaľa 5;;Šaľa
Priečna;Priečna;927 05;Šaľa 5;Šaľa 5;;Šaľa
Rímska;Rímska;927 05;Šaľa 5;Šaľa 5;;Šaľa
Robotnícka;Robotnícka;927 01;Šaľa 1;Šaľa 1;;Šaľa
Ružová;Ružová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Sadová;Sadová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Sládkovičova;Sládkovičova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Slnečná;Slnečná;927 05;Šaľa 5;Šaľa 5;;Šaľa
Smetanova;Smetanova;927 01;Šaľa 1;Šaľa 1;;Šaľa
SNP;SNP;927 01;Šaľa 1;Šaľa 1;;Šaľa
Staničná;Staničná;927 01;Šaľa 1;Šaľa 1;;Šaľa
Školská;Školská;927 01;Šaľa 1;Šaľa 1;;Šaľa
Štúrova;Štúrova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Švermova;Švermova;927 01;Šaľa 1;Šaľa 1;;Šaľa
Trnovecká;Trnovecká;927 05;Šaľa 5;Šaľa 5;;Šaľa
Tulipánová;Tulipánová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Úzka;Úzka;927 05;Šaľa 5;Šaľa 5;;Šaľa
V. Šrobára;V. Šrobára;927 01;Šaľa 1;Šaľa 1;;Šaľa
Váhová;Váhová;927 01;Šaľa 1;Šaľa 1;;Šaľa
Vajanského;Vajanského;927 01;Šaľa 1;Šaľa 1;;Šaľa
Vinohradnícka;Vinohradnícka;927 01;Šaľa 1;Šaľa 1;;Šaľa
Vlčanská;Vlčanská;927 01;Šaľa 1;Šaľa 1;;Šaľa
Záhradnícka;Záhradnícka;927 01;Šaľa 1;Šaľa 1;;Šaľa
Železničná;Železničná;927 01;Šaľa 1;Šaľa 1;;Šaľa
1. mája;1. mája;059 38;Štrba;Štrba;;Štrba
29. januára;29. januára;059 38;Štrba;Štrba;;Štrba
A. Sládkoviča;A. Sládkoviča;059 38;Štrba;Štrba;;Štrba
Bellova;Bellova;059 41;Tatranská Štrba;Tatranská Štrba;;Štrba
Brezová;Brezová;059 38;Štrba;Štrba;;Štrba
Čsl. armády;Čsl. armády;059 38;Štrba;Štrba;;Štrba
Dr. Markušovského;Dr. Markušovského;059 38;Štrba;Štrba;;Štrba
Družstevná;Družstevná;059 38;Štrba;Štrba;;Štrba
Hlavná;Hlavná;059 38;Štrba;Štrba;;Štrba
Horská;Horská;059 41;Tatranská Štrba;Tatranská Štrba;;Štrba
Hviezdoslavova;Hviezdoslavova;059 38;Štrba;Štrba;;Štrba
J. Gejdoša;J. Gejdoša;059 38;Štrba;Štrba;;Štrba
J. Kráľa;J. Kráľa;059 38;Štrba;Štrba;;Štrba
Jurkovičova;Jurkovičova;059 38;Štrba;Štrba;;Štrba
Krátka;Krátka;059 38;Štrba;Štrba;;Štrba
Krôn;Krôn;059 38;Štrba;Štrba;;Štrba
Lesná;Lesná;059 41;Tatranská Štrba;Tatranská Štrba;;Štrba
Liptovská;Liptovská;059 38;Štrba;Štrba;;Štrba
M. Benku;M. Benku;059 38;Štrba;Štrba;;Štrba
M. Janošku;M. Janošku;059 38;Štrba;Štrba;;Štrba
Mlynská;Mlynská;059 38;Štrba;Štrba;;Štrba
P. Z. Vrbického;P. Z. Vrbického;059 38;Štrba;Štrba;;Štrba
Partizánska;Partizánska;059 41;Tatranská Štrba;Tatranská Štrba;;Štrba
Poľná;Poľná;059 38;Štrba;Štrba;;Štrba
Raštub;Raštub;059 38;Štrba;Štrba;;Štrba
Rekreačná;Rekreačná;059 41;Tatranská Štrba;Tatranská Štrba;;Štrba
SNP;SNP;059 38;Štrba;Štrba;;Štrba
Školská;Školská;059 38;Štrba;Štrba;;Štrba
Štefánikova;Štefánikova;059 38;Štrba;Štrba;č.2,3,7,8,9,11,12,29,528-559;Štrba
Štefánikova;Štefánikova;059 41;Tatranská Štrba;Tatranská Štrba;14-22,68,69,70,;Štrba
Štepánkovická;Štepánkovická;059 38;Štrba;Štrba;;Štrba
Štúrova;Štúrova;059 41;Tatranská Štrba;Tatranská Štrba;;Štrba
Tatranská;Tatranská;059 38;Štrba;Štrba;;Štrba
Železničná;Železničná;059 41;Tatranská Štrba;Tatranská Štrba;;Štrba
Švábovce;Švábovce;059 11;Hozelec;Hozelec;č. 601 až 620;Švábovce
Švábovce;Švábovce;059 12;Hôrka pri Poprade;Hôrka pri Poprade;okrem čísla 601 až 620;Švábovce
17. novembra;17. novembra;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
A. Grznára;A. Grznára;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Agátová;Agátová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Andreja Hlinku;Andreja Hlinku;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Astrová;Astrová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
B. Němcovej;B. Němcovej;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Bernolákova;Bernolákova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Brezová;Brezová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Broskyňová;Broskyňová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Budovateľská;Budovateľská;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Cintorínska;Cintorínska;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Clementisova;Clementisova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Cukrovarnícka;Cukrovarnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Čerešňová;Čerešňová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
ČSA;ČSA;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
D. Jurkoviča;D. Jurkoviča;955 03;Topoľčany 3;Topoľčany 3;;Topoľčany
Dopravná;Dopravná;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Dr. P. Adámiho;Dr. P. Adámiho;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Dr. Pantočku;Dr. Pantočku;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Družby;Družby;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Družstevná;Družstevná;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Fialková;Fialková;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Fraňa Kráľa;Fraňa Kráľa;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Gagarinova;Gagarinova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Gaštanová;Gaštanová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Gogoľova;Gogoľova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Gorkého;Gorkého;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Hlavná;Hlavná;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Hollého;Hollého;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Hrebíčková;Hrebíčková;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Hurbanova;Hurbanova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Chmeľová;Chmeľová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Inovecká;Inovecká;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
J. Alexyho;J. Alexyho;955 03;Topoľčany 3;Topoľčany 3;;Topoľčany
J. Bottu;J. Bottu;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
J. Jesenského;J. Jesenského;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
J. Kráľa;J. Kráľa;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
J. Matušku;J. Matušku;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
J. Wolkera;J. Wolkera;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Jabloňová;Jabloňová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Jahodová;Jahodová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Jána Kollára;Jána Kollára;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Jaselská;Jaselská;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Javorová;Javorová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Jazmínová;Jazmínová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Jurkovičova;Jurkovičova;955 03;Topoľčany 3;Topoľčany 3;;Topoľčany
K Panklu;K Panklu;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
K. Kuzmányho;K. Kuzmányho;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Kalinčiakova;Kalinčiakova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Komenského;Komenského;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
kpt. Jaroša;kpt. Jaroša;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
kpt. Žalmana;kpt. Žalmana;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Krátka;Krátka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Krušovská;Krušovská;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Kukučínova;Kukučínova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Ľ. Fulu;Ľ. Fulu;955 03;Topoľčany 3;Topoľčany 3;;Topoľčany
Ladislava Dorušáka;Ladislava Dorušáka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Ľaliová;Ľaliová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Lipová;Lipová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
M. A. Bazovského;M. A. Bazovského;955 03;Topoľčany 3;Topoľčany 3;;Topoľčany
M. Benku;M. Benku;955 03;Topoľčany 3;Topoľčany 3;;Topoľčany
M. Rázusa;M. Rázusa;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
M. Závodného;M. Závodného;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Malinová;Malinová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Margarétová;Margarétová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Mestský park;Mestský park;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Mieru;Mieru;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Miloša Závodného;Miloša Závodného;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Mojmírova;Mojmírova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Moyzesova;Moyzesova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Murárska;Murárska;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Muškátová;Muškátová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Nám. Ľ. Štúra;Nám. Ľ. Štúra;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Nám. M. R. Štefánika;Nám. M. R. Štefánika;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Narcisová;Narcisová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Nezábudková;Nezábudková;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Obchodná;Obchodná;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Obráncov mieru;Obráncov mieru;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Odbojárov;Odbojárov;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Okružná;Okružná;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Orechová;Orechová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Orgovánová;Orgovánová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Ovocná;Ovocná;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
P. Jilemnického;P. Jilemnického;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
P. Mudroňa;P. Mudroňa;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
P. O. Hviezdoslava;P. O. Hviezdoslava;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Palárikova;Palárikova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Palkovičova;Palkovičova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Park Alexandra Dubčeka;Park Alexandra Dubčeka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Pavlovova;Pavlovova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Pílska;Pílska;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Pionierska;Pionierska;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Pivovarnícka;Pivovarnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Pod kalváriou;Pod kalváriou;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Podjavorinskej;Podjavorinskej;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Poľovnícka;Poľovnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Povstania;Povstania;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Práznovská cesta;Práznovská cesta;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Pribinova;Pribinova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Priemyselná ulica;Priemyselná ulica;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Puškinova;Puškinova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Radlinského;Radlinského;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Rastislavova;Rastislavova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Robotnícka;Robotnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Ružová;Ružová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Sama Chalupku;Sama Chalupku;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Sedmikrásková;Sedmikrásková;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Skýcovská;Skýcovská;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Sládkovičova;Sládkovičova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Sladovnícka;Sladovnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Slnečná;Slnečná;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Slobody;Slobody;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Slov. partizánov;Slov. partizánov;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Snežienková;Snežienková;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Streďanská;Streďanská;955 01;Topoľčany 1;Topoľčany 1;č. 1500-1599, 1700-1799;Topoľčany
Streďanská;Streďanská;955 03;Topoľčany 3;Topoľčany 3;č.2536,2731,2617,2661,2778,4689/38,363/65;Topoľčany
Stummerova;Stummerova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
sv. Cyrila a Metoda;sv. Cyrila a Metoda;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Svätoplukova;Svätoplukova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Šafárikova;Šafárikova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Šípová;Šípová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Škultétyho;Škultétyho;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Športovcov;Športovcov;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Štúrova;Štúrova;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
T. Vansovej;T. Vansovej;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Timravy;Timravy;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Topoľová;Topoľová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Tovarnícka;Tovarnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Tríbečská;Tríbečská;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Tulipánová;Tulipánová;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
V. Beniaka;V. Beniaka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Václavská;Václavská;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Vajanského;Vajanského;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Vinohradnícka;Vinohradnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Záhradkárska;Záhradkárska;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Záhradnícka;Záhradnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Záhumnie;Záhumnie;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Zdravotnícka;Zdravotnícka;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Zelený rínok;Zelený rínok;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
Železničiarska;Železničiarska;955 01;Topoľčany 1;Topoľčany 1;;Topoľčany
1. mája;1. mája;911 01;Trenčín 1;Trenčín 1;;Trenčín
10.apríla;10.apríla;911 01;Trenčín 1;Trenčín 1;;Trenčín
17. novembra;17. novembra;911 01;Trenčín 1;Trenčín 1;;Trenčín
28.októbra;28.októbra;911 01;Trenčín 1;Trenčín 1;;Trenčín
A. Lišku;A. Lišku;911 05;Trenčín 5;Trenčín 5;;Trenčín
Armádna;Armádna;911 01;Trenčín 1;Trenčín 1;;Trenčín
Bavlnárska;Bavlnárska;911 05;Trenčín 5;Trenčín 5;;Trenčín
Bazovského;Bazovského;911 08;Trenčín 8;Trenčín 8;;Trenčín
Beckovská;Beckovská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Belá;Belá;913 21;Trenčianska Turná;Trenčianska Turná;;Trenčín
Bernolákova;Bernolákova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Bezručova;Bezručova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Biskupická;Biskupická;911 01;Trenčín 1;Trenčín 1;;Trenčín
Bottova;Bottova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Brančíkova;Brančíkova;911 05;Trenčín 5;Trenčín 5;;Trenčín
Bratislavská;Bratislavská;911 05;Trenčín 5;Trenčín 5;ostatné čísla okrem 52,54,56-62,pár.64-116;Trenčín
Bratislavská;Bratislavská;911 06;Trenčín 5;Trenčín 5;č.52,54,56-62,pár.64-116;Trenčín
Brezová;Brezová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Brigádnická;Brigádnická;911 01;Trenčín 1;Trenčín 1;;Trenčín
Brnianska;Brnianska;911 05;Trenčín 5;Trenčín 5;;Trenčín
Budovateľská;Budovateľská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Cintorínska;Cintorínska;911 01;Trenčín 1;Trenčín 1;;Trenčín
Clementisova;Clementisova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Daniela Krmana;Daniela Krmana;911 01;Trenčín 1;Trenčín 1;;Trenčín
Detská;Detská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Dlhé Hony;Dlhé Hony;911 01;Trenčín 1;Trenčín 1;;Trenčín
Dolné Pažite;Dolné Pažite;911 06;Trenčín 5;Trenčín 5;;Trenčín
Dolný Šianec;Dolný Šianec;911 01;Trenčín 1;Trenčín 1;;Trenčín
Družstevná;Družstevná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Dubová;Dubová;911 01;Trenčín 1;Trenčín 1;;Trenčín
Duklianskych hrdinov;Duklianskych hrdinov;911 05;Trenčín 5;Trenčín 5;;Trenčín
Električná;Električná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Farská;Farská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Gagarinova;Gagarinova;911 01;Trenčín 1;Trenčín 1;;Trenčín
gen. Goliana;gen. Goliana;911 01;Trenčín 1;Trenčín 1;;Trenčín
gen. M. R. Štefánika;gen. M. R. Štefánika;911 01;Trenčín 1;Trenčín 1;;Trenčín
gen. Svobodu;gen. Svobodu;911 08;Trenčín 8;Trenčín 8;;Trenčín
gen. Viesta;gen. Viesta;911 01;Trenčín 1;Trenčín 1;;Trenčín
Halalovka;Halalovka;911 08;Trenčín 8;Trenčín 8;;Trenčín
Hanzlikovská;Hanzlíkovská;911 05;Trenčín 5;Trenčín 5;par.č.2-66, nepár.č. 1-83;Trenčín
Hanzlikovská;Hanzlíkovská;911 06;Trenčín 5;Trenčín 5;č. 68-80,82,84-110;Trenčín
Hasičská;Hasičská;911 01;Trenčín 1;Trenčín 1;;Trenčín
